,louvain,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
9,2,KEGG,KEGG:04141,Protein processing in endoplasmic reticulum,0.0009896724473907848,True,Protein processing in endoplasmic reticulum,168,279,18,8484,0.06451612903225806,0.10714285714285714,query_1,['KEGG:00000'],"['ENSG00000162909', 'ENSG00000144224', 'ENSG00000157020', 'ENSG00000114850', 'ENSG00000067167', 'ENSG00000165280', 'ENSG00000044574', 'ENSG00000079332', 'ENSG00000166598', 'ENSG00000089248', 'ENSG00000120694', 'ENSG00000134001', 'ENSG00000167004', 'ENSG00000088833', 'ENSG00000118705', 'ENSG00000179218', 'ENSG00000132002', 'ENSG00000133265']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
10,2,KEGG,KEGG:04110,Cell cycle,0.0015279152657446953,True,Cell cycle,157,279,17,8484,0.06093189964157706,0.10828025477707007,query_1,['KEGG:00000'],"['ENSG00000175793', 'ENSG00000117399', 'ENSG00000134057', 'ENSG00000124762', 'ENSG00000006634', 'ENSG00000166508', 'ENSG00000164754', 'ENSG00000170312', 'ENSG00000108055', 'ENSG00000154473', 'ENSG00000157456', 'ENSG00000166851', 'ENSG00000178999', 'ENSG00000004897', 'ENSG00000132646', 'ENSG00000101412', 'ENSG00000105568']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
11,2,KEGG,KEGG:04115,p53 signaling pathway,0.014685174222111226,True,p53 signaling pathway,74,279,10,8484,0.035842293906810034,0.13513513513513514,query_1,['KEGG:00000'],"['ENSG00000175793', 'ENSG00000171848', 'ENSG00000115129', 'ENSG00000134057', 'ENSG00000113328', 'ENSG00000124762', 'ENSG00000112378', 'ENSG00000170312', 'ENSG00000157456', 'ENSG00000171552']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
12,2,KEGG,KEGG:04066,HIF-1 signaling pathway,0.02398920927059549,True,HIF-1 signaling pathway,109,279,12,8484,0.043010752688172046,0.11009174311926606,query_1,['KEGG:00000'],"['ENSG00000135766', 'ENSG00000168291', 'ENSG00000151247', 'ENSG00000078401', 'ENSG00000124762', 'ENSG00000131828', 'ENSG00000102265', 'ENSG00000102144', 'ENSG00000067057', 'ENSG00000100644', 'ENSG00000168610', 'ENSG00000100292']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
13,2,KEGG,KEGG:00020,Citrate cycle (TCA cycle),0.038155812472047475,True,Citrate cycle (TCA cycle),30,279,6,8484,0.021505376344086023,0.2,query_1,['KEGG:00000'],"['ENSG00000117118', 'ENSG00000014641', 'ENSG00000163541', 'ENSG00000168291', 'ENSG00000131828', 'ENSG00000101365']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
14,2,KEGG,KEGG:01200,Carbon metabolism,0.039623565675615625,True,Carbon metabolism,115,279,12,8484,0.043010752688172046,0.10434782608695652,query_1,['KEGG:00000'],"['ENSG00000117118', 'ENSG00000014641', 'ENSG00000163541', 'ENSG00000168291', 'ENSG00000065833', 'ENSG00000120437', 'ENSG00000131828', 'ENSG00000102144', 'ENSG00000135069', 'ENSG00000067057', 'ENSG00000139684', 'ENSG00000101365']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
0,4,KEGG,KEGG:04814,Motor proteins,0.0017967472278648316,True,Motor proteins,193,184,15,8484,0.08152173913043478,0.07772020725388601,query_1,['KEGG:00000'],"['ENSG00000142945', 'ENSG00000118193', 'ENSG00000138778', 'ENSG00000131437', 'ENSG00000112984', 'ENSG00000137267', 'ENSG00000137285', 'ENSG00000237649', 'ENSG00000196586', 'ENSG00000090889', 'ENSG00000121621', 'ENSG00000138160', 'ENSG00000186185', 'ENSG00000108423', 'ENSG00000129991']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
1,4,KEGG,KEGG:03008,Ribosome biogenesis in eukaryotes,0.004565455453279211,True,Ribosome biogenesis in eukaryotes,139,184,12,8484,0.06521739130434782,0.08633093525179857,query_1,['KEGG:00000'],"['ENSG00000134697', 'ENSG00000065183', 'ENSG00000115368', 'ENSG00000041802', 'ENSG00000058729', 'ENSG00000124787', 'ENSG00000124784', 'ENSG00000156697', 'ENSG00000120158', 'ENSG00000162231', 'ENSG00000183751', 'ENSG00000108651']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
2,4,KEGG,KEGG:00100,Steroid biosynthesis,0.005396276765903302,True,Steroid biosynthesis,20,184,5,8484,0.02717391304347826,0.25,query_1,['KEGG:00000'],"['ENSG00000132196', 'ENSG00000052802', 'ENSG00000147383', 'ENSG00000149809', 'ENSG00000107798']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
3,4,KEGG,KEGG:04110,Cell cycle,0.014850707388903258,True,Cell cycle,157,184,12,8484,0.06521739130434782,0.07643312101910828,query_1,['KEGG:00000'],"['ENSG00000123080', 'ENSG00000169679', 'ENSG00000134058', 'ENSG00000158402', 'ENSG00000124688', 'ENSG00000112742', 'ENSG00000002822', 'ENSG00000156970', 'ENSG00000080986', 'ENSG00000099860', 'ENSG00000093009', 'ENSG00000183765']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
