EIF5A	RPL7A
EIF5A	RPS4X
ELAVL1	HNRNPDL
ELAVL1	ILF2
ELAVL1	SRSF3
ELAVL1	SSB
ELAVL1	TIAL1
ENO1	GAPDH
ENO1	PGK1
EPHX1	GSTO1
EPHX1	MGST1
EPHX1	MGST2
EREG	NRG1
ESF1	GNL3
ESF1	UTP18
ESF1	WDR43
EXOSC1	EXOSC3
EXOSC1	EXOSC8
EXOSC1	UTP18
EXOSC1	WDR43
EXOSC3	EXOSC8
EXOSC3	UTP18
EXOSC3	WDR43
EXOSC8	WDR43
FADS2	SCD
FN1	ITGA3
FN1	ITGAV
FN1	SPP1
GAPDH	HPRT1
GAPDH	MRPL13
GAPDH	NPM1
GAPDH	PGK1
GAPDH	PHGDH
GAPDH	PRDX1
GAPDH	TP53
GAPDH	TXN
GAR1	NOLC1
GCLC	HMOX1
GCLC	NQO1
GLRX	GLRX3
GLRX	GPX2
GLRX	GSTO1
GLRX	TXN
GNL3	GRWD1
GNL3	MDM2
GNL3	NOLC1
GNL3	NPM1
GNL3	PA2G4
GNL3	RPL7A
GNL3	TP53
GNL3	WDR18
GNL3	WDR43
GNL3	WDR74
GPC1	PTPRS
GPN3	POLR2C
GPX2	GSTO1
GPX2	HMOX1
GPX2	MGST2
GPX2	NQO1
GPX2	TP53
GPX2	TXN
GPX2	TXNDC12
GPX2	TXNRD2
GRN	PSAP
GRN	TMEM106B
GRPEL1	HSPA9
GRPEL1	HSPD1
GRWD1	LYAR
GRWD1	MRTO4
GRWD1	UTP18
GRWD1	WDR18
GRWD1	WDR43
GRWD1	WDR74
GSTO1	MGST1
GSTO1	MGST2
GSTO1	TXNDC12
HACD1	HACD3
HACD1	SCD
HACD3	SCD
HCCS	HMOX1
HEXIM1	HTATSF1
HIPK2	MDM2
HIPK2	TP53
HMGB2	NCL
HMOX1	NQO1
HNRNPDL	HNRNPH1
HNRNPDL	HNRNPM
HNRNPDL	SRSF3
HNRNPH1	HNRNPR
HNRNPH1	NCL
HNRNPH1	SRSF3
HNRNPM	HNRNPR
HNRNPM	ILF2
HNRNPM	SFPQ
HNRNPM	SRSF3
HNRNPM	TIAL1
HNRNPR	ILF2
HNRNPR	RBM14
HNRNPR	SRSF3
HPRT1	MT-ATP6
HPRT1	PGK1
HSPA9	HSPD1
HSPA9	IMMT
HSPD1	NPM1
HTATSF1	SNRPA1
IGFBP4	PAPPA
IGFBP7	TIMP2
ILF2	RAN
ILF2	RBM14
ILF2	SRSF3
ILF2	SSB
ILF2	XRCC6
IMMT	MTX2
IMMT	PDHA1
ITGA3	ITGAV
ITGA3	LAMA5
ITGAV	MFGE8
ITGAV	SPP1
KIF5B	TUBA1A
KIF5B	TUBA1B
KPNA2	RAN
KPNA4	RAN
KRT18	KRT19
KRT18	KRT8
LMAN1	PREB
LMAN1	SEC13
LSM6	RBM42
LSM6	SNRPA1
LSM6	SNW1
LYAR	RPL28
MAGOH	SNRPA1
MAGOH	SNW1
MAGOH	SRSF3
MAGOH	SRSF4
MDK	NCL
MDM2	NCL
MDM2	NPM1
MDM2	RPS27A
MDM2	SFN
MDM2	TP53
